Model,Train R²,Test R²,Test RMSE,Test MAE
Linear Regression,0.5135618567267678,0.43625646601911583,5.733287780845225,4.447786559964691
Random Forest,0.9014347770821636,0.4969871999720299,5.415673491849261,4.145616218456988
XGBoost,0.9699619891403332,0.43061496901362395,5.761903460849777,4.426117539546207
